"species.host"	"within_host_relative_abundance"
"Alistipes_putredinis_61533.HMP_SRS1054691"	0.152192851458
"Alistipes_putredinis_61533.HMP_SRS017821"	0.0238308937806
"Alistipes_putredinis_61533.HMP_SRS893279"	0.0901469116846
"Alistipes_putredinis_61533.HMP_SRS075773"	0.075443807492
"Alistipes_putredinis_61533.HMP_SRS1041134"	0.119272279051
"Alistipes_putredinis_61533.HMP_SRS1041130"	0.02277208006
"Alistipes_putredinis_61533.HMP_SRS1041132"	0.0361188286927
"Alistipes_putredinis_61533.HMP_SRS019808"	0.106497338394
"Alistipes_putredinis_61533.HMP_SRS049712"	0.00294519825397
"Alistipes_putredinis_61533.HMP_SRS015190"	0.0203302800641
"Alistipes_putredinis_61533.HMP_SRS054905"	0.21644612476
"Alistipes_putredinis_61533.HMP_SRS1041037"	0.0610031381719
"Alistipes_putredinis_61533.HMP_SRS1041033"	0.0390262592579
"Alistipes_putredinis_61533.HMP_SRS1041032"	0.0659365595486
"Alistipes_putredinis_61533.HMP_SRS045195"	0.110323659633
"Alistipes_putredinis_61533.HMP_SRS011529"	0.0118231320869
"Alistipes_putredinis_61533.HMP_SRS013638"	0.069299460221
"Alistipes_putredinis_61533.HMP_SRS045826"	0.0615300402568
"Alistipes_putredinis_61533.HMP_SRS018541"	0.184517922123
"Alistipes_putredinis_61533.HMP_SRS014948"	0.0318174847159
"Alistipes_putredinis_61533.HMP_SRS893366"	0.0654736185676
"Alistipes_putredinis_61533.HMP_SRS893170"	0.0408241018695
"Alistipes_putredinis_61533.HMP_SRS077392"	0.0813862457635
"Alistipes_putredinis_61533.HMP_SRS018427"	0.0334148859944
"Alistipes_putredinis_61533.HMP_SRS893327"	0.0941360486044
"Alistipes_putredinis_61533.HMP_SRS893369"	0.0844820063748
"Alistipes_putredinis_61533.HMP_SRS047433"	0.0877421675497
"Alistipes_putredinis_61533.HMP_SRS016438"	0.00823712158879
"Alistipes_putredinis_61533.HMP_SRS098061"	0.11948956733
"Alistipes_putredinis_61533.HMP_SRS043768"	0.0315691729369
